grid_id,district_name,base_year,target_year,year,risk_state,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_012925,乳源瑶族自治县,2023,2024,2023,0,0.3069816584631333,-6.9349541279895135,-0.1167623286500775,-1.7635072064664865,0.4037101758144555,0.5,low,LL,0,8,0.12450022332010134,0.8076923076923077,0
G_056065,翁源县,2023,2024,2023,0,0.2694084992178746,-12.102626931792756,-0.0665027588563131,-0.0780261821983874,0.2431876966813812,0.0,low,LL,0,6,0.1228657266181197,0.8021978021978022,0
G_029248,曲江区,2023,2024,2023,0,0.2622398067158858,-11.8693703471153,-0.1586424490832224,-2.802743711378559,0.3132164778554347,0.0,low,LL,0,7,0.12177246268318272,0.7967032967032968,0
G_060287,新丰县,2023,2024,2023,0,0.1763180409043972,-15.196322497663132,0.0181158694440438,4.091230016276793,0.2431237913492301,0.0,low,LL,0,8,0.1210218559499968,0.7912087912087912,0
G_059965,新丰县,2023,2024,2023,0,0.2511174648486146,-10.267571186509892,0.1201215045832335,7.8611568529629725,0.3175951564071855,0.125,low,LL,0,8,0.12034354752777107,0.7857142857142857,0
G_028406,曲江区,2023,2024,2023,0,0.297323131214957,-8.357794777341322,-0.039345120025838,1.4506395465169426,0.4554160126150636,0.5,low,LL,0,8,0.11882449340187108,0.7802197802197802,0
G_029037,曲江区,2023,2024,2023,0,0.3125408224842645,-7.225362765260122,-0.0244237338598901,1.6910359027883466,0.4251175497538989,0.375,low,LL,0,8,0.11703523948906121,0.7747252747252747,0
G_056751,翁源县,2023,2024,2023,0,0.3075677717463965,-11.810318830246649,-0.0883633648764254,-1.3073220078604937,0.4295774865525363,0.25,low,LL,0,4,0.11450139193496013,0.7692307692307692,0
G_028220,浈江区,2023,2024,2023,0,0.3193124994099225,-7.024849749459587,-0.1114578606736783,-2.2720416899753992,0.3846554564142367,0.2,low,LL,0,5,0.11423216307748345,0.7637362637362637,0
G_036931,仁化县,2023,2024,2023,0,0.3046961486103888,-5.1822614009042445,-0.0794315997057761,-0.4182347131096628,0.4734327224416634,0.625,low,LL,0,8,0.11294877143413495,0.7582417582417582,0
G_027393,浈江区,2023,2024,2023,0,0.3093144791910977,-2.59072264228588,-0.0580753727611723,0.6447757934883214,0.4631331318908787,0.5714285714285714,low,LL,0,7,0.11111149378154564,0.7527472527472527,0
G_059642,新丰县,2023,2024,2023,0,0.2547302690693028,-9.079328178472233,-0.2739950016044606,-6.602948787755628,0.3830117350073065,0.25,low,LL,0,8,0.10945214254850774,0.7472527472527473,0
G_017883,乳源瑶族自治县,2023,2024,2023,0,0.2736123813815738,-5.357834438664818,-0.1141254357794923,-0.6703988193349453,0.3872764580790445,0.1428571428571428,low,LL,0,7,0.10938166516517032,0.7417582417582418,0
G_056066,翁源县,2023,2024,2023,0,0.09806691227869,-17.013952587234744,-0.1514289508962676,-1.2485167316390449,0.3387150380408107,0.2857142857142857,low,LL,0,7,0.10731335291921025,0.7362637362637363,0
